type,col1,col2,col3,col4,col5,col6
INSTANCE,u_a,io_driver,,,,
INSTANCE,u_b,io_driver,,,,
INSTANCE,u_mon,io_monitor,,,,
INSTANCE,u_nib,io_nibble,,,,
NET,u_a,drive_en,,TOP,a_drive_en,
NET,u_a,drive_val,,TOP,a_drive_val,
NET,u_b,drive_en,,TOP,b_drive_en,
NET,u_b,drive_val,,TOP,b_drive_val,
NET,u_nib,drive_en,,TOP,nib_drive_en,
NET,u_nib,drive_val,,TOP,nib_drive_val,
NET,TOP,a_sensed,,u_a,sensed,
NET,TOP,b_sensed,,u_b,sensed,
NET,TOP,mon_sensed,,u_mon,sensed,
NET,u_a,io,,TOP,shared_bus,
NET,u_b,io,,TOP,shared_bus,
NET,u_mon,io,,TOP,shared_bus,
NET,u_nib,io_lo,[3:0],u_b,io,
